Table with row headings in column A and column headings in rows 5-8.,,,,,,,,,,,
Table 16. Homeownership Rates by Race and Ethnicity of,,,,,,,,,,,
                Householder: 1994 to Present,,,,,,,,,,,
,,,,,,,,,,,
Year and         quarter,U.S.,Non-Hispanic White Alone,Black Alone,All Other Races\1,Hispanic (of any race),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1994,,,,,,,,,,,
1st.......,63.8,69.8,42.1,50.1,40.3,,,,,,
2nd.......,63.8,69.9,41.8,46.3,41.1,,,,,,
3rd.......,64.1,70.0,42.7,46.9,41.1,,,,,,
4th.......,64.2,70.2,42.6,47.6,42.2,,,,,,
,,,,,,,,,,,
1995,,,,,,,,,,,
1st......,64.2,70.0,42.7,46.9,41.4,,,,,,
2nd......,64.7,70.2,42.6,47.6,42.2,,,,,,
3rd......,65.0,70.4,41.2,47.2,41.8,,,,,,
4th......,65.1,70.9,42.2,46.7,42.8,,,,,,
,,,,,,,,,,,
1996,,,,,,,,,,,
1st......,65.1,71.4,43.8,50.9,41.4,,,,,,
2nd......,65.4,71.7,43.7,50.0,43.9,,,,,,
3rd......,65.6,71.8,44.5,51.5,43.5,,,,,,
4th......,65.4,71.8,44.4,51.4,42.3,,,,,,
,,,,,,,,,,,
1997,,,,,,,,,,,
1st......,65.4,71.6,44.5,51.8,42.6,,,,,,
2nd......,65.7,72.1,44.4,52.7,43.3,,,,,,
3rd......,66.0,72.3,45.3,53.1,43.0,,,,,,
4th......,65.7,71.9,45.1,52.5,44.0,,,,,,
,,,,,,,,,,,
1998,,,,,,,,,,,
1st......,65.9,72.1,45.2,52.3,44.4,,,,,,
2nd......,66.0,72.5,44.7,53.5,43.9,,,,,,
3rd......,66.8,73.1,46.6,53.6,44.9,,,,,,
4th......,66.4,72.6,45.9,52.7,45.7,,,,,,
,,,,,,,,,,,
1999,,,,,,,,,,,
1st......,66.7,72.8,46.3,52.8,46.2,,,,,,
2nd......,66.6,73.2,45.3,53.2,44.9,,,,,,
3rd......,67.0,73.5,46.6,54.5,45.5,,,,,,
4th......,66.9,73.3,46.8,54.3,45.5,,,,,,
,,,,,,,,,,,
2000,,,,,,,,,,,
1st......,67.1,73.4,47.4,53.6,45.7,,,,,,
2nd......,67.2,73.7,46.7,54.4,45.4,,,,,,
3rd......,67.7,74.3,46.8,53.9,46.7,,,,,,
4th......,67.5,73.9,47.8,52.4,47.5,,,,,,
,,,,,,,,,,,
2001,,,,,,,,,,,
1st......,67.5,74.0,47.5,53.9,46.1,,,,,,
2nd......,67.7,74.1,47.9,55.2,46.1,,,,,,
3rd......,68.1,74.6,47.5,54.4,48.1,,,,,,
4th......,68.0,74.4,48.1,53.2,48.8,,,,,,
,,,,,,,,,,,
2002\r,,,,,,,,,,,
1st......,67.8,74.6,48.2,53.5,46.4,,,,,,
2nd......,67.6,74.5,46.5,55.3,46.1,,,,,,
3rd......,68.0,74.9,47.3,54.0,47.1,,,,,,
4th......,68.3,75.0,47.7,55.2,48.3,,,,,,
,,,,,,,,,,,
2003,,,,,,,,,,,
1st......,68.0,75.0,47.7,55.7,46.7,,,,,,
2nd......,68.0,75.2,47.3,55.3,46.2,,,,,,
3rd......,68.4,75.7,48.0,56.2,46.1,,,,,,
4th......,68.6,75.5,49.4,56.6,47.7,,,,,,
,,,,,,,,,,,
2004,,,,,,,,,,,
1st......,68.6,75.5,49.3,58.2,47.3,,,,,,
2nd......,69.2,76.2,49.7,58.7,47.4,,,,,,
3rd......,69.0,76.1,48.4,58.6,48.7,,,,,,
4th......,69.2,76.2,49.1,58.9,48.9,,,,,,
,,,,,,,,,,,
2005,,,,,,,,,,,
1st......,69.1,76.0,48.8,59.4,49.7,,,,,,
2nd......,68.6,75.6,48.0,58.0,49.2,,,,,,
3rd......,68.8,75.7,48.1,59.9,49.1,,,,,,
4th......,69.0,76.0,48.0,60.1,50.0,,,,,,
,,,,,,,,,,,
2006,,,,,,,,,,,
1st......,68.5,75.5,47.3,59.6,49.4,,,,,,
2nd......,68.7,75.9,47.2,59.3,50.0,,,,,,
3rd......,69.0,76.0,48.6,60.6,49.7,,,,,,
4th......,68.9,76.0,48.2,60.0,49.5,,,,,,
,,,,,,,,,,,
2007,,,,,,,,,,,
1st……,68.4,75.3,48.0,58.6,50.1,,,,,,
2nd…..,68.2,75.4,46.3,59.4,50.0,,,,,,
3rd…..,68.2,75.3,46.7,60.1,50.1,,,,,,
4th…..,67.8,74.9,47.7,58.6,48.5,,,,,,
,,,,,,,,,,,
2008,,,,,,,,,,,
1st……,67.8,75.0,47.1,58.1,48.9,,,,,,
2nd…..,68.1,75.2,47.8,58.4,49.6,,,,,,
3rd……,67.9,75.1,47.8,59.0,49.5,,,,,,
4th……,67.5,74.8,46.8,58.3,48.6,,,,,,
,,,,,,,,,,,
2009,,,,,,,,,,,
1st……,67.3,74.7,46.1,57.4,48.6,,,,,,
2nd…..,67.4,74.9,46.5,57.6,48.1,,,,,,
3rd…..,67.6,75.0,46.4,57.8,48.7,,,,,,
4th…..,67.2,74.5,46.0,58.4,48.4,,,,,,
,,,,,,,,,,,
2010,,,,,,,,,,,
1st….,67.1,74.5,45.6,57.2,48.5,,,,,,
2nd….,66.9,74.4,46.2,55.7,47.8,,,,,,
3rd….,66.9,74.7,45.0,57.3,47.0,,,,,,
4th…..,66.5,74.2,44.9,57.7,46.8,,,,,,
,,,,,,,,,,,
2011,,,,,,,,,,,
1st….,66.4,74.1,44.8,56.7,46.8,,,,,,
2nd….,65.9,73.7,44.2,56.0,46.6,,,,,,
3rd….,66.3,73.8,45.6,56.4,47.6,,,,,,
4th…..,66.0,73.7,45.1,56.5,46.6,,,,,,
,,,,,,,,,,,
2012,,,,,,,,,,,
1st….,65.4,73.5,43.1,55.1,46.3,,,,,,
2nd….,65.5,73.5,43.8,55.0,46.5,,,,,,
3rd….,65.5,73.6,44.1,54.6,46.7,,,,,,
4th…..,65.4,73.6,44.5,55.2,45.0,,,,,,
,,,,,,,,,,,
2013,,,,,,,,,,,
1st….,65.0,73.4,43.1,54.6,45.3,,,,,,
2nd….,65.0,73.3,42.9,54.5,45.9,,,,,,
3rd….,65.3,73.3,43.1,55.2,47.6,,,,,,
4th…..,65.2,73.4,43.2,56.0,45.5,,,,,,
,,,,,,,,,,,
2014,,,,,,,,,,,
1st….,64.8,72.9,43.3,55.8,45.8,,,,,,
2nd….,64.7,72.9,43.5,54.7,45.8,,,,,,
3rd….,64.4,72.6,42.9,54.2,45.6,,,,,,
4th…..,64.0,72.3,42.1,55.3,44.5,,,,,,
,,,,,,,,,,,
2015,,,,,,,,,,,
1st….,63.7,72.0,41.9,55.4,44.1,,,,,,
2nd….,63.4,71.6,43.0,52.6,45.4,,,,,,
3rd….,63.7,71.9,42.4,53.7,46.1,,,,,,
4th…..,,,,,,,,,,,
,,,,,,,,,,,
Footnotes:,,,,,,,,,,,
"Source: Current Population Survey/Housing Vacancy Survey, Series H-111, U.S. Census Bureau, Washington, DC 20233",,,,,,,,,,,
,,,,,,,,,,,
\r Revised based on the 2000 Census. ,,,,,,,,,,,
,,,,,,,,,,,
"\1 Includes people who reported Asian, Native Hawaiian or Other Pacific Islander,  ",,,,,,,,,,,
or American Indian or Alaska Native regardless of whether they reported any,,,,,,,,,,,
"other race, as well as all other combinations of two or more races.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
